search URL:,https://patents.google.com/?assignee=glasgow+univ&after=filing:20100101&language=ENGLISH
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
GB-201814093-D0,Photochromic and electrochromic compounds ,Univ Court Univ Of Glasgow,,2018-08-30,2018-08-30,2018-10-17,,https://patents.google.com/patent/GB201814093D0/en,
GB-201915222-D0,Diagnostic and prognostic biomarkers of disease remission in rheumatoid arthritis ,Univ Court Univ Of Glasgow,,2019-10-21,2019-10-21,2019-12-04,,https://patents.google.com/patent/GB201915222D0/en,
ES-2749465-A1,"Use of boron and its derivatives for the treatment of muscular dystrophies. (Machine-translation by Google Translate, not legally binding) ","Consorcio Centro De Investig Biomedica En Red M P, Univ Valencia, Univ Glasgow Court","Tortosa Patricia Rico, Sánchez Manuel Salmerón, Allepuz Rubén Artero, Schonbrunn Ariadna Bargiela, Alonso Manuel Pérez",2018-09-20,2018-09-20,2020-03-20,,https://patents.google.com/patent/ES2749465A1/en,
EP-2795388-B1,Optical element ,University Court of Glasgow Caledonian University,"Roberto Ramirez-Iniguez, Firdaus Muhammad SUKKI, Brian Stewart, Scott Mcmeekin",2011-12-22,2012-12-21,2022-02-02,2022-02-02,https://patents.google.com/patent/EP2795388B1/en,https://patentimages.storage.googleapis.com/9b/02/3b/9be14fb53a3734/imgf0001.png
GB-201806775-D0,"Display apparatus, controller therefor and method of controlling the same ",Univ Court Univ Of Glasgow,,2018-04-25,2018-04-25,2018-06-06,,https://patents.google.com/patent/GB201806775D0/en,
EP-2430189-B1,Phosphodiesterase 9a as prostate cancer marker ,"Koninklijke Philips N.V., University Court Of The University Of Glasgow","Ralf Hoffmann, Miles D. Houslay, David J. P. Henderson",2009-05-12,2010-05-11,2018-11-21,2018-11-21,https://patents.google.com/patent/EP2430189B1/en,https://patentimages.storage.googleapis.com/d6/ac/4b/5bf91acb24d9dd/imgf0001.png
GB-201708338-D0,Metabolite detection apparatus and method of detecting metabolites ,Univ Court Univ Of Glasgow,,2017-05-24,2017-05-24,2017-07-05,,https://patents.google.com/patent/GB201708338D0/en,
GB-201908547-D0,Method and apparatus for three-dimensional imaging ,Univ Court Univ Of Glasgow,,2019-06-14,2019-06-14,2019-07-31,,https://patents.google.com/patent/GB201908547D0/en,
GB-201708339-D0,Metabolite detection apparatus and method of detecting metabolites ,Univ Court Univ Of Glasgow,,2017-05-24,2017-05-24,2017-07-05,,https://patents.google.com/patent/GB201708339D0/en,
EP-2464286-A1,Improved method of determining metabolic function ,"Greater Glasgow Health Board, University Court of The University of Glasgow","Celestine Santosh, William Holmes, Rosario Lopez",2009-09-04,2010-09-03,2012-06-20,,https://patents.google.com/patent/EP2464286A1/en,
GB-201504387-D0,Materials and methods for the treatment of vascular disease ,Univ Glasgow,,2015-03-16,2015-03-16,2015-04-29,,https://patents.google.com/patent/GB201504387D0/en,
EP-2925223-A1,Improved methods of assessing metabolic function ,"Greater Glasgow Health Board, The University Court Of The University Of Glasgow","Graeme DEUCHAR, Celestine Santosh",2012-11-27,2013-11-27,2015-10-07,,https://patents.google.com/patent/EP2925223A1/en,
CN-113166812-A,Pre-operative risk stratification based on PDE4D7 and DHX9 expression ,"皇家飞利浦有限公司, 格拉斯哥大学委员会","G·贝利, R·D·霍夫曼",2018-10-11,2019-10-11,2021-07-23,,https://patents.google.com/patent/CN113166812A/en,https://patentimages.storage.googleapis.com/cb/dd/a2/41216bd23734f3/HDA0003107685320000061.png
EP-2398894-A1,Retention of a stem cell phenotype ,University Court of The University of Glasgow,"Matthew Dalby, Nikolaj Gadegaard, Richard Oreffo",2009-02-23,2010-02-23,2011-12-28,,https://patents.google.com/patent/EP2398894A1/en,
EP-3204753-B1,A hydrodynamic focussing method and related device ,The University Court Of The University Of Glasgow,"Xiaofei Yuan, Huabing Yin, Andrew GLIDLE",2014-10-09,2015-10-09,2020-04-22,2020-04-22,https://patents.google.com/patent/EP3204753B1/en,https://patentimages.storage.googleapis.com/34/21/ba/f5dae99ea3c882/imgf0001.png
CN-102410126-B,Ignition method and system for internal combustion engine ,"四川得弘电子科技有限公司, 英国格拉斯哥大学","李耘, 陈伟, 孙方",2011-09-28,2011-09-28,2013-11-20,2013-11-20,https://patents.google.com/patent/CN102410126B/en,https://patentimages.storage.googleapis.com/52/e5/78/04e4194df79f65/HDA0000096763910000011.png
