search URL:,https://patents.google.com/?assignee=Univ+Sheffield&after=filing:20100101&language=ENGLISH
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
GB-201112119-D0,Method and apparatus for position determination ,Univ Sheffield,,2011-07-14,2011-07-14,2011-08-31,,https://patents.google.com/patent/GB201112119D0/en,
GB-201310295-D0,Transistor ,Univ Sheffield,,2013-06-10,2013-06-10,2013-07-24,,https://patents.google.com/patent/GB201310295D0/en,
GB-2507351-A,Identification tag for modulating and returning an incident RF signal ,"Bae Systems Plc, Univ Sheffield","James Christopher Gordon Matthews, Alan Tennant",2012-10-26,2012-10-26,2014-04-30,,https://patents.google.com/patent/GB2507351A/en,
GB-201818651-D0,Compounds ,Univ Sheffield,,2018-11-15,2018-11-15,2019-01-02,,https://patents.google.com/patent/GB201818651D0/en,
US-10150946-B2,Media for stem cells ,The University Of Sheffield,"Irene Canton, Steven Peter Armes, Nicholas John Warren, Harry Moore, Giuseppe BATTAGLIA, Denis Cecchin",2013-02-21,2014-02-21,2018-12-11,2018-12-11,https://patents.google.com/patent/US10150946B2/en,https://patentimages.storage.googleapis.com/6d/31/9d/78a22f1f5f015d/US10150946-20181211-D00001.png
ES-2527942-T3,Brackets ,The University Of Sheffield,"Sheila Macneil, Anthony Ryan",2009-03-11,2010-03-10,2015-02-02,2015-02-02,https://patents.google.com/patent/ES2527942T3/en,
GB-201109812-D0,Ceramic dental restoration material ,Univ Sheffield,,2011-06-11,2011-06-11,2011-07-27,,https://patents.google.com/patent/GB201109812D0/en,
GB-201421818-D0,Manufacture of metal articles ,Univ Sheffield,,2014-12-08,2014-12-08,2015-01-21,,https://patents.google.com/patent/GB201421818D0/en,
GB-201108529-D0,Contrast agents for biophotonic imaging ,Univ Sheffield,,2011-05-20,2011-05-20,2011-07-06,,https://patents.google.com/patent/GB201108529D0/en,
EP-2601264-A1,"Light reflective, self-assembling block copolymer film or coating, methods for their preparation and use thereof ",The University Of Sheffield,"John Patrick Anthony Fairclough, Andrew Pryke, Nadejda Tzokova, Andrew Parnell, Oleksandr Mykhaylyk",2010-08-06,2011-08-05,2013-06-12,,https://patents.google.com/patent/EP2601264A1/en,
EP-3864699-A1,Led arrays ,The University of Sheffield,Tao Wang,2018-10-09,2019-10-08,2021-08-18,,https://patents.google.com/patent/EP3864699A1/en,
GB-201111826-D0,Broadband optical device structure and method of fabrication thereof ,Univ Sheffield,,2011-07-11,2011-07-11,2011-08-24,,https://patents.google.com/patent/GB201111826D0/en,
US-2019000388-A1,Apparatus and methods for determining force applied to the tip of a probe ,The University Of Sheffield,"Dilichukwu ANUMBA, Timothy James Healey",2015-12-22,2016-12-21,2019-01-03,,https://patents.google.com/patent/US20190000388A1/en,https://patentimages.storage.googleapis.com/9e/29/d0/7a1b2434183b82/US20190000388A1-20190103-D00000.png
GB-201201927-D0,Wheelchair ,Univ Sheffield,,2012-02-03,2012-02-03,2012-03-21,,https://patents.google.com/patent/GB201201927D0/en,
ES-2866939-T3,Apparatus and method for determining the electrical conductivity of tissue ,Univ Sheffield,"Brian Brown, Dilichukwu Anumba",2015-12-22,2016-12-21,2021-10-20,2021-10-20,https://patents.google.com/patent/ES2866939T3/en,
US-2018372695-A1,Continuous wave ultrasound for analysis of a surface ,The University Of Sheffield,"Robin MILLS, Robert S. DWYER-JOYCE, Matthew Marshall",2015-12-22,2016-12-21,2018-12-27,,https://patents.google.com/patent/US20180372695A1/en,https://patentimages.storage.googleapis.com/37/a5/f2/d2e008a9c3ca19/US20180372695A1-20181227-D00000.png
US-2018214613-A1,Medical implant ,The University Of Sheffield,"Aileen Crawford-Corrie, David John Buttle, John William Haycock",2015-07-24,2016-07-25,2018-08-02,,https://patents.google.com/patent/US20180214613A1/en,https://patentimages.storage.googleapis.com/a9/31/97/c89ac99f5e1864/US20180214613A1-20180802-D00001.png
US-2022265635-A1,Treatment of neurological disease ,"Aclipse One Inc., The University Of Sheffield","Richard James Mead, Pamela Jean Shaw, Claude Ogoe, Ning Shan, Laura FERRAIUOLO",2018-10-19,2019-10-18,2022-08-25,,https://patents.google.com/patent/US20220265635A1/en,https://patentimages.storage.googleapis.com/4c/24/74/23020df22a0746/US20220265635A1-20220825-D00000.png
US-2012146068-A1,Semiconductor Light Source and Method of Fabrication Thereof ,The University Of Sheffield,"Kristian Groom, Richard Hogg",2009-06-10,2010-06-09,2012-06-14,,https://patents.google.com/patent/US20120146068A1/en,https://patentimages.storage.googleapis.com/9f/ed/a1/f42cc59d3b99e3/US20120146068A1-20120614-D00000.png
EP-2224237-A2,Resonant inspection using reconfigurable nest ,"The Boeing Company, The University of Sheffield","David P. Heck, Adrian Allen",2009-02-25,2010-02-23,2010-09-01,,https://patents.google.com/patent/EP2224237A2/en,https://patentimages.storage.googleapis.com/3e/61/eb/3ab38ed851413f/imgf0001.png
GB-201215939-D0,Method of preparing monomers ,Univ Sheffield,,2012-09-06,2012-09-06,2012-10-24,,https://patents.google.com/patent/GB201215939D0/en,
