search URL:,https://patents.google.com/?assignee=Univ+Leeds&after=filing:20100101&language=ENGLISH
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
EP-2983689-B1,Composition comprising self-assembling peptides and a charged polysaccharide ,University of Leeds,"Eileen Ingham, Ruth Karen WILCOX, Amalia AGGELI, Danielle Elizabeth MILES",2013-04-08,2014-04-08,2019-08-28,2019-08-28,https://patents.google.com/patent/EP2983689B1/en,https://patentimages.storage.googleapis.com/dc/09/7c/b049d80cf082c2/imgf0001.png
EP-2976308-A1,Glass ,The University Of Leeds,"Animesh Jha, Billy Donald Orac RICHARDS",2013-03-20,2014-03-19,2016-01-27,,https://patents.google.com/patent/EP2976308A1/en,
AU-2011311342-B2,A photosensitive composition comprising hydroxyapatite ,"The University Court Of The University Of St. Andrews, University Of Leeds","Christian Thomas Alcuin Brown, Mandeep Singh Duggal, Animesh Jha, Steven John Milne, Colin Robinson, Wilson Sibbett, Kyriacos Jack Toumba",2010-10-08,2011-10-10,2015-02-05,2015-02-05,https://patents.google.com/patent/AU2011311342B2/en,
AU-2015323559-A1,Formulation ,"University Court Of The University Of St Andrews, University Of Leeds","Antonios ANASTASIOU, Christian Thomas Alcuin Brown, Mandeep Singh Duggal, Animesh Jha, Billy Donald Orac RICHARDS, Wilson Sibbett",2014-09-26,2015-09-04,2017-04-13,,https://patents.google.com/patent/AU2015323559A1/en,
US-2016326529-A1,Anti-viral therapy ,"The University Of York, University Of Leeds, University Of Helsinki","Reidun TWAROCK, Eric DYKEMAN, Peter Stockley, Simon White, Amy BARKER, Nikesh PATEL, Sarah BUTCHER, Shabih SHAKEEL, Mark Harris, Hazel STEWART",2013-09-05,2014-09-05,2016-11-10,,https://patents.google.com/patent/US20160326529A1/en,https://patentimages.storage.googleapis.com/2c/06/8e/242602ac054951/US20160326529A1-20161110-D00001.png
EP-2931033-B1,Method of freezing making use of a mineral nucleator ,"University Of Leeds, Asymptote Limited","Benjamin John MURRAY, Thomas Francis WHALE, James Atkinson, George John Morris",2012-12-11,2013-12-09,2022-01-05,2022-01-05,https://patents.google.com/patent/EP2931033B1/en,https://patentimages.storage.googleapis.com/10/9c/58/ab809202dacd18/imgf0001.png
GB-202011609-D0,Coronaviral packaging signals ,"Univ Leeds Innovations Ltd, Univ York",,2020-07-27,2020-07-27,2020-09-09,,https://patents.google.com/patent/GB202011609D0/en,
JP-2010260790-A,Erbium-doped optical glass ,"Univ Of Leeds, ザ  ユニバーシティ  オブ  リーズ","Animesh Jha, ジャー、アニメッシュ, Mira Naftaly, ナフタリー、ミラ, Shaoxiong Shen, スン、スァウション",1998-03-19,2010-07-28,2010-11-18,,https://patents.google.com/patent/JP2010260790A/en,https://patentimages.storage.googleapis.com/7d/91/94/37e8f1c510b74a/2010260790-7.png
WO-2011060976-A1,Tryptamine-derived compounds as antibacterial agents ,"Universite De Liege, Universiteit Utrecht Holding Bv, University Of Ljubljana, University Of Leeds, Commissariat A L'energie Atomique","Mohammed Terrak, Evert Johan Breukink, Stanislas Gobec, Ian Chopra, Thierry Vernet",2009-11-20,2010-09-13,2011-05-26,,https://patents.google.com/patent/WO2011060976A1/en,
CN-110248736-A,Fluid flow arrangements ,利兹大学,"希娜·伊丽莎白·雷德福, 尼基尔·卡普尔, 大卫·约翰·布罗克韦尔",2017-02-06,2018-02-06,2019-09-17,,https://patents.google.com/patent/CN110248736A/en,
EP-2794906-A1,Assay of functional cell viability ,The University Of Leeds,"Brian Mark Thomson, Mark Frederick Smith",2011-12-21,2012-12-21,2014-10-29,,https://patents.google.com/patent/EP2794906A1/en,
US-2018140972-A1,Compact electrocoalescer with conical frustum electrodes ,"Qatar University, University Of Leeds","Aboubakr M. ABDULLAH, Vincenzino VIVACQUA, Mohammed J. AL-MARRI, Barry AZZOPARDI, Bijan KERMANI, Ali HASSANPOUR, Buddhika HEWAKANDAMBY, Mojtaba Ghadiri",2016-11-23,2017-11-17,2018-05-24,,https://patents.google.com/patent/US20180140972A1/en,https://patentimages.storage.googleapis.com/e5/1c/9f/38cd16f05081e7/US20180140972A1-20180524-D00000.png
WO-2019241631-A1,Compounds for treating hbv ,"The United States Of America, As Represented By The Secretary, Department Of Health And Human Services, University Of Leeds, University Of York","Stuart F.J. LE GRICE, Peter G. Stockley, Reidun TWAROCK, Fardokht A. ABULWERDI",2018-06-14,2019-06-14,2019-12-19,,https://patents.google.com/patent/WO2019241631A1/en,
EP-4143621-A1,Scanner and method of using the scanner during a stain assessment ,"Leeds Teaching Hospitals NHS Trust, University of Leeds","David Brettle, Darren Treanor",2020-04-28,2021-04-28,2023-03-08,,https://patents.google.com/patent/EP4143621A1/en,
GB-201918006-D0,Determining spatial relationship between upper and lower teeth ,Univ Leeds Innovations Ltd,,2019-12-09,2019-12-09,2020-01-22,,https://patents.google.com/patent/GB201918006D0/en,
EP-3119426-A1,Methods and materials for treating cancer ,"Mayo Foundation for Medical Education and Research, University of Leeds","Jose S. Pulido, Richard G. Vile, Timothy J. Kottke, Jill M. Thompson, Rosa Maria DIAZ, Christine Marie PULIDO, Alan A. MELCHER, Peter Selby",2014-03-19,2015-03-19,2017-01-25,,https://patents.google.com/patent/EP3119426A1/en,
WO-2013140175-A1,Apparatus and method for manipulating entrained particles ,University Of Leeds,"Steven Freear, Benjamin RAITON, James R. MCLAUGHLAN, David M.J. COWELL, Peter R. Smith, Sevan HARPUT",2012-03-23,2013-03-21,2013-09-26,,https://patents.google.com/patent/WO2013140175A1/en,
EP-3410947-A1,Surgical retraction device and procedure ,University of Leeds,"David G JAYNE, Peter CULMER, Mohammed SANAMI, Richard Hall, Timothy Flood",2016-02-02,2017-01-20,2018-12-12,,https://patents.google.com/patent/EP3410947A1/en,
EP-3139856-B1,Method of creating a 3d model dental occlusion ,University of Leeds,Andrew Keeling,2014-05-07,2015-05-06,2019-12-11,2019-12-11,https://patents.google.com/patent/EP3139856B1/en,
CN-107406904-A,Method ,利兹大学,"阿尼梅斯·杰哈, S·桑切斯-塞加杜, L·埃斯库德罗-卡斯特洪",2015-03-04,2016-03-01,2017-11-28,,https://patents.google.com/patent/CN107406904A/en,
GB-201416280-D0,Tomography apparatus and method ,Univ Leeds,,2014-09-15,2014-09-15,2014-10-29,,https://patents.google.com/patent/GB201416280D0/en,
AU-2016227471-A1,Process ,University Of Leeds,"Yotamu Stephen Rainford HARA, Animesh Jha, Stephen PARIRENYATWA, Sergio SANCHEZ-SEGADO",2015-03-04,2016-03-01,2017-09-21,,https://patents.google.com/patent/AU2016227471A1/en,
AU-2020349647-A1,Three-dimensional dental scanning system and method of scanning ,University Of Leeds,Andrew James KEELING,2019-09-18,2020-09-17,2022-03-24,,https://patents.google.com/patent/AU2020349647A1/en,
EP-3631078-A1,Low temperature colouring method ,University of Leeds,Stephen Martin Burkinshaw,2017-06-02,2018-05-31,2020-04-08,,https://patents.google.com/patent/EP3631078A1/en,
